id,name,serving_size,ingredients_json,equipment_json,instructions,photo
1,Chocolate Chip Cookies,24,"[{""quantity"": ""2"", ""unit"": ""cups"", ""ingredient"": ""Flour""}, {""quantity"": ""1"", ""unit"": ""cup"", ""ingredient"": ""Butter (softened)""}, {""quantity"": ""0.75"", ""unit"": ""cup"", ""ingredient"": ""Brown sugar""}, {""quantity"": ""0.5"", ""unit"": ""cup"", ""ingredient"": ""Granulated sugar""}, {""quantity"": ""2"", ""unit"": ""whole"", ""ingredient"": ""Eggs""}, {""quantity"": ""1"", ""unit"": ""tsp"", ""ingredient"": ""Vanilla extract""}, {""quantity"": ""1"", ""unit"": ""tsp"", ""ingredient"": ""Baking soda""}, {""quantity"": ""0.5"", ""unit"": ""tsp"", ""ingredient"": ""Salt""}, {""quantity"": ""2"", ""unit"": ""cups"", ""ingredient"": ""Chocolate chips""}]","[""Mixing bowl|Measuring cups|Baking sheet|Oven""]",Mix dry ingredients. Add wet ingredients. Drop onto baking sheet. Bake at 350F for 12 minutes.,
3,Cauliflower Chee se,1,"[{""quantity"": ""1.0"", ""unit"": ""head"", ""ingredient"": ""of cauliflower OR 1 head of broccoli OR a mix of both""}, {""quantity"": ""50.0"", ""unit"": ""plain"", ""ingredient"": ""flour""}, {""quantity"": ""500.0"", ""unit"": ""milk"", ""ingredient"": ""milk""}, {""quantity"": ""50.0"", ""unit"": ""butter"", ""ingredient"": ""butter""}, {""quantity"": ""100.0"", ""unit"": ""grated"", ""ingredient"": ""cheese""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Black pepper""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1-2 tblsp fresh breadcrumbs""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Don’t forget a container to take your cauliflower cheese home in""}]",[],"1. 2cm hot water into a pan
2.  Bring to the boil, add the vegetables and cover with a lid
3.  Cook for 5mins maximum then drain using a colander then place them in a
dish
4.  Put the butter into a pan and melt it
5.  Add flour and stir to form a paste
6.  Gradually add the milk – keep stirring until it thickens.
7.  Remove from the heat and stir in most of the cheese. Season.
8.  Pour over the veg.
9. Sprinkle on breadcrumbs and the remaining cheese
10. Grill under  a hot grill until golden brown.
Feeling a dventurous?  You could….
• Try using different vegetables
• Add herbs to the sauce",
4,Mini Carrot Cakes,1,"[{""quantity"": ""150.0"", ""unit"": ""margarine"", ""ingredient"": ""150g margarine""}, {""quantity"": ""250.0"", ""unit"": ""carrots"", ""ingredient"": ""250g carrots""}, {""quantity"": ""200.0"", ""unit"": ""sugar"", ""ingredient"": ""200g sugar""}, {""quantity"": ""2.0"", ""unit"": ""large"", ""ingredient"": ""eggs""}, {""quantity"": ""200.0"", ""unit"": ""flour"", ""ingredient"": ""200g flour""}, {""quantity"": ""2.0"", ""unit"": """", ""ingredient"": ""5 ml cinnamon""}, {""quantity"": ""2.0"", ""unit"": """", ""ingredient"": ""5ml baking powder""}, {""quantity"": ""125.0"", ""unit"": ""sultanas"", ""ingredient"": ""125g sultanas""}, {""quantity"": ""50.0"", ""unit"": ""nuts"", ""ingredient"": ""50g nuts""}]","[""Muffin tray"", ""scales"", ""sieve"", ""saucepan chopping board"", ""knife"", ""grater"", ""small bowl"", ""mixing bowl"", ""wooden spoon""]","1. Preheat the oven to 200oC or gas mark 6.
2. Melt the margarine in a saucepan .
3. Top and tail, and then peel and grate the carrots.
4. Combine the carrots, sugar and margarine in the mining bowl.
5. Sift in the flour, cinnamon and baking powder.
6. Beat the eggs in a small bowl, and then add to the mixture.
7. Mix in the sultanas and nuts.
8. Divide the mixture equally between the muffin cases, using the two metal spoons.
9. Bake for 20 minutes.",
5,Making Activity 1: Mushr oom Risotto,1,"[{""quantity"": ""150.0"", ""unit"": ""chestnut"", ""ingredient"": ""mushrooms""}, {""quantity"": ""1.0"", ""unit"": ""onion"", ""ingredient"": ""1 onion""}, {""quantity"": ""2.0"", ""unit"": ""cloves"", ""ingredient"": ""garlic""}, {""quantity"": ""1.0"", ""unit"": """", ""ingredient"": ""15ml spoon olive oil""}, {""quantity"": ""250.0"", ""unit"": ""risotto"", ""ingredient"": ""rice""}, {""quantity"": ""1.0"", ""unit"": """", ""ingredient"": ""5ml spoon vegetable stock powder""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1-1.5 litres water, boiling""}, {""quantity"": ""1.0"", ""unit"": """", ""ingredient"": ""15ml spoon parmesan, grated""}, {""quantity"": ""1.0"", ""unit"": """", ""ingredient"": ""10ml spoon thyme, chopped""}]","[""Weighing scale s"", ""chopping board"", ""knife"", ""wooden spoon"", ""frying pan"", ""spoon"", ""mixing bowl""]","1. Prepare the vegetables:
2. peel and chop the onion;
3. slice the mushrooms;
4. Peel and crush the garlic.
5. Fry the onion and garlic in the oil until softened.
6. Add the mushrooms, and fry f or another 2 minutes.
7. Stir in the rice.
8. Mix the stock powder with the water.
9. Add a little o f the stock to the rice - a little at a time.  Wait for the stock to be absorbed, stirring
constantly.
10. Continue adding the stock until the rice cooks – this will tak e 20-25 minutes. The rice should be soft, but
still retain a nutty bite.
11. Stir in the parmes an and thyme into the rice.",
6,Fajitas,1,"[{""quantity"": """", ""unit"": """", ""ingredient"": ""1/2 lime""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1/2 green chilli""}, {""quantity"": ""1.0"", ""unit"": ""clove"", ""ingredient"": ""garlic""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1x15ml spoon coriander""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1x10ml spoon oil""}, {""quantity"": ""1.0"", ""unit"": ""small"", ""ingredient"": ""chicken breast (or 3 -4 boneless thighs or vegetarian substitute eg quorn""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1/2 onion""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1/2 green pepper""}, {""quantity"": ""2.0"", ""unit"": ""tortillas"", ""ingredient"": ""2 tortillas""}, {""quantity"": ""1.0"", ""unit"": ""tomato"", ""ingredient"": ""1 tomato""}, {""quantity"": ""25.0"", ""unit"": ""Cheddar"", ""ingredient"": ""cheese""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1x15ml spoon guacamole (or salsa), optional""}]","[""weighing scales"", ""chopping board"", ""knife"", ""wooden spoon"", ""frying pan/wok"", ""spoon"", ""mixing bowl""]","1. Prepare the marinade:
· squeeze the lime;
· peel and crush t he garlic;
· de-seed and slice the chilli;
· chop the coriander;
· stir everything together with the oil.
2. Remove any skin from the chicken and cut into strips. Mix with the marinade and place in the fridge, covered,
until needed.
3. Prepare the remainin g ingredients with a fresh knife on a clean chopping board:
· slice the onion and g reen pepper;
· chop the tomato;
· grate the cheese.
4. Add the marinated chicken to the wok or frying pan and stir -fry for about 4 minutes. Check that the  chicken is
cooked.
5. Add the onion and green pepper and continue to cook for a further 2 minutes.
6. Spread a little chicken in the centre of the tortilla, add some tomato, cheese and guacamole, then roll up.",
7,Vegetable Couscous,1,"[{""quantity"": ""170.0"", ""unit"": ""water,"", ""ingredient"": ""boiling""}, {""quantity"": ""1.0"", ""unit"": ""vegetable"", ""ingredient"": ""stock cube""}, {""quantity"": ""100.0"", ""unit"": ""couscous"", ""ingredient"": ""100g couscous""}, {""quantity"": ""1.0"", ""unit"": ""medium"", ""ingredient"": ""tomato""}, {""quantity"": ""1.0"", ""unit"": ""spring"", ""ingredient"": ""onion""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""¼ cucumber""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ yellow pepper""}, {""quantity"": ""4.0"", ""unit"": ""dried"", ""ingredient"": ""apricots""}, {""quantity"": ""1.0"", ""unit"": """", ""ingredient"": ""15ml spoon parsley""}, {""quantity"": ""2.0"", ""unit"": """", ""ingredient"": ""15ml spoons low fat dressing""}]","[""Kettle"", ""measuring jug"", ""measuring spoons"", ""weighing scales"", ""large bowl"", ""fork"", ""chopping board"", ""sharp knife"", ""can opener"", ""scissors"", ""mixing spoon.""]","1. Make up the stock by dissolving the stock cube in the boiling water.
2. Pour the stock over the couscous in a large bowl.
3. Fluff with a fork and leave to stand for 5 minutes.
4. Chop the tomato and cucumber into small chunks.
5. Slice the pepper into small strips.
6. Slic e the dried apricots and parsley into small pieces.
7. Add all the vegetables to the couscous and snip the spring onions into the bowl using the scissors.
8. Stir everything together.
9. Add the dressing.",
8,Pizza,1,"[{""quantity"": ""500.0"", ""unit"": ""wh"", ""ingredient"": ""ite strong bread flour""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1x 7g packet or 2 teaspoons fast action dried yeast""}, {""quantity"": ""1.0"", ""unit"": ""tablespoon"", ""ingredient"": ""oil""}, {""quantity"": ""2.0"", ""unit"": ""teaspoons"", ""ingredient"": ""salt""}, {""quantity"": ""1.0"", ""unit"": ""teaspoon"", ""ingredient"": ""sugar""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Warm water""}, {""quantity"": ""3.0"", ""unit"": ""tablespoons"", ""ingredient"": ""of Tomato puree or 400g tinned tomatoes""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""A range of toppings ; e.g. sliced peppers, mushrooms , grated che ddar or  sliced mozzarella, cooked""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""bacon, t inned sweetcorn, sliced ham or cooked bacon, salami, pineapple .""}]","[""weighing scales"", ""measuring spoons"", ""mixing bowl"", ""wooden spoon"", ""rolling pin"", ""baking tray""]","1. Preheat the oven at 2200 C or Gas Mark 7
2. Sieve the flour and salt into a bowl and stir in the dried yeast and sugar
3. Add the oil and start to add warm water gradually adding a little at a ti me.  With your hands or a spoon
gradually bring the dough together.  It should feel s lightly sticky.  If it is very sticky add a little more flour, if
it is very dry still add a little more warm water.
4. Flour a work surface and knead the dough until it is smooth and stretchy, at least 5 minutes
5. Roll the dough out to a large circle and place it onto t he baking tray.  Place into the top oven to prove if there is
time.
6. Spoon over the tomato puree if using.  If using tinned tomatoes drain off the liquid before spreading them over
the pizza base
7. Scatter your chosen in gredien ts over the pizza base, putting the cheese on last.
8. Bake for 15 minutes until the base looks cooked and the cheese is golden brown .",
9,Beef Nachos (per group of 4),4,"[""100g beef mince"", ""1 Brown onion diced"", ""1 T minced garlic"", ""¼ can of chilli beans"", ""2 T Tomato paste"", ""½ can chopped tomatoes"", ""½ cup frozen corn"", ""1 carrot grated"", ""½  c beef stock ( 1 beef stock cube + ½ c water)"", ""½ t smoked paprika"", ""½ t dried oregano"", ""½ t onion powder"", ""½ t ground cumin"", ""½ t ground coriander""]",[],"1. Heat a little oil in a large frying pan on high heat cook mince, garlic and onion
breaking up mince with a wooden spoon as it cooks until browned add spices.
2. Stir in beans, to mato paste, tomatoes, corn, and carrot and beef stock
3. Bring to a simmer then reduce heat to low stirring occasionally for 9 -12
minutes until thickened.
4. Put corn chips in a bowl and spoon mince over the top, sprinkle with cheese
and put under grill until  till cheese is melted
5. Top with sour cream",
11,Cauliflower Chee se,1,"[{""quantity"": ""1.0"", ""unit"": ""head"", ""ingredient"": ""of cauliflower OR 1 head of broccoli OR a mix of both""}, {""quantity"": ""50.0"", ""unit"": ""plain"", ""ingredient"": ""flour""}, {""quantity"": ""500.0"", ""unit"": ""milk"", ""ingredient"": ""500ml milk""}, {""quantity"": ""50.0"", ""unit"": ""butter"", ""ingredient"": ""50g butter""}, {""quantity"": ""100.0"", ""unit"": ""grated"", ""ingredient"": ""cheese""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Black pepper""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""1-2 tblsp fresh breadcrumbs""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Don’t forget a container to take your cauliflower cheese home in""}]",[],"1. 2cm hot water into a pan
2.  Bring to the boil, add the vegetables and cover with a lid
3.  Cook for 5mins maximum then drain using a colander then place them in a
dish
4.  Put the butter into a pan and melt it
5.  Add flour and stir to form a paste
6.  Gradually add the milk – keep stirring until it thickens.
7.  Remove from the heat and stir in most of the cheese. Season.
8.  Pour over the veg.
9. Sprinkle on breadcrumbs and the remaining cheese
10. Grill under  a hot grill until golden brown.
Feeling a dventurous?  You could….
Try using different vegetables
Add herbs to the sauce",
12,Beef and Carrot and Onion,1,"[{""quantity"": ""45.0"", ""unit"": """", ""ingredient"": ""45""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Week 9 : Time for a quick Dinner""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Beef Nachos (per""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""group of 4)""}, {""quantity"": ""100.0"", ""unit"": ""beef"", ""ingredient"": ""mince""}, {""quantity"": ""1.0"", ""unit"": ""Brown"", ""ingredient"": ""onion diced""}, {""quantity"": ""1.0"", ""unit"": ""T"", ""ingredient"": ""minced garlic""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""¼ can of chilli beans""}, {""quantity"": ""2.0"", ""unit"": ""T"", ""ingredient"": ""Tomato paste""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ can chopped tomatoes""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ cup frozen corn""}, {""quantity"": ""1.0"", ""unit"": ""carrot"", ""ingredient"": ""grated""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½  c beef stock ( 1 beef stock cube + ½ c water)""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ t smoked paprika""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ t dried oregano""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ t onion powder""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ t ground cumin""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ t ground coriander""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""To serve""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""½ c cheese""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Sour cream""}, {""quantity"": """", ""unit"": """", ""ingredient"": ""Corn chips""}]",[],"1. Heat a little oil in a large frying pan on high heat cook mince, garlic and onion
breaking up mince with a wooden spoon as it cooks until browned add spices.
2. Stir in beans, to mato paste, tomatoes, corn, and carrot and beef stock
3. Bring to a simmer then reduce heat to low stirring occasionally for 9 -12
minutes until thickened.
4. Put corn chips in a bowl and spoon mince over the top, sprinkle with cheese
and put under grill until  till cheese is melted
5. Top with sour cream",
