ClassCode,LineNo,Misc1,RoomNo,CourseName,Misc2,Year,Dept,StaffCode,ClassSize,TotalSize,TimetableYear,Misc3
100COMP,0,0,0,Computer Studies,NCEA Level 1,11,Technology,VP,0,0,2025TT,100COMP|VP||||VP||0|0||||2|0||
SRREO,JSR,0,1,Te Reo,Junior School,7,Te Reo Māori,BP,19,19,2025TT,SRREO|JSR||||BP|01|19|19||||2|0||
SRLITR,JSR,0,1,Literacy,Junior School,8,English and Languages,SR,19,19,2025TT,SRLITR|JSR||||SR|01|19|19||||2|0||
SRMATH,JSR,0,1,Mathematics,Junior School,8,Mathematics,SR,19,19,2025TT,SRMATH|JSR||||SR|01|19|19||||2|0||
SRREAD,JSR,0,1,Reading,Junior School,8,English and Languages,SR,19,19,2025TT,SRREAD|JSR||||SR|01|19|19||||2|0||
SRSOCS,JSR,0,1,Social Studies,Junior School,8,Social Science,SR,19,19,2025TT,SRSOCS|JSR||||SR|01|19|19||||2|0||
SRWRITE,JSR,0,1,Literacy,Junior School,8,English and Languages,SR,19,19,2025TT,SRWRITE|JSR||||SR|01|19|19||||2|0||
WHANAU,9WPAPA,0,1,Life Skills/Personal Development,Year 1,1,English and Languages,SR,15,15,2025TT,WHANAU|9WPAPA||||SR|01|15|15||||2|0||
SRHOME,JSR,0,1,SRHOME,0,0,SRHOME,SR,19,19,2025TT,SRHOME|JSR||||SR|01|19|19||||2|0||
MEET,9WPAPA,0,1,MEET,0,0,MEET,SR,15,15,2025TT,MEET|9WPAPA||||SR|01|15|15||||2|0||
VEREO,JVE,0,2,Te Reo Maori,Junior School,7,Te Reo Māori,BP,24,24,2025TT,VEREO|JVE||||BP|02|24|24||||2|0||
VEHOME,JVE,0,2,VEHOME,0,0,VEHOME,LI,24,24,2025TT,VEHOME|JVE||||LI|02|24|24||||2|2||
VEHOME,JVE,0,2,VEHOME,0,0,VEHOME,MM,24,24,2025TT,VEHOME|JVE||||MM|02|24|24||||2|1||
WHANAU,7WPAPA,0,2,Life Skills/Personal Development,Year 1,1,English and Languages,SH,11,11,2025TT,WHANAU|7WPAPA||||SH|02|11|11||||2|0||
MEET,7WPAPA,0,2,MEET,0,0,MEET,SH,11,11,2025TT,MEET|7WPAPA||||SH|02|11|11||||2|0||
VEMATH,JVE,0,2,Mathematics,Junior School,8,Mathematics,SR,24,24,2025TT,VEMATH|JVE||||SR|02|24|24||||2|1||
VESOCS,JVE,0,2,Social Studies,Junior School,7,Social Science,SR,24,24,2025TT,VESOCS|JVE||||SR|02|24|24||||2|0||
VELITR,JVE,0,2,Literacy,Year 8,8,English and Languages,VE,24,24,2025TT,VELITR|JVE||||VE|02|24|24||||2|0||
VEMATH,JVE,0,2,Mathematics,Junior School,8,Mathematics,VE,24,24,2025TT,VEMATH|JVE||||VE|02|24|24||||2|0||
VEREAD,JVE,0,2,Reading,Junior School,8,Mathematics,VE,24,24,2025TT,VEREAD|JVE||||VE|02|24|24||||2|0||
VEWRITE,JVE,0,2,Literacy,Junior School,7,English and Languages,VE,24,24,2025TT,VEWRITE|JVE||||VE|02|24|24||||2|0||
VEHOME,JVE,0,2,VEHOME,0,0,VEHOME,VE,24,24,2025TT,VEHOME|JVE||||VE|02|24|24||||2|0||
SDREO,JSD,0,3,Te Re Maori,Junior School,7,Te Reo Māori,HE,19,19,2025TT,SDREO|JSD||||HE|03|19|19||||2|0||
SDDRAMA,JSD,0,3,Drama,Junior School,8,Arts,KV,19,19,2025TT,SDDRAMA|JSD||||KV|03|19|19||||2|0||
SDSOCS,JSD,0,3,Social Studies,Year 8,7,Junior School,LI,19,19,2025TT,SDSOCS|JSD||||LI|03|19|19||||2|0||
SDLITR,JSD,0,3,Literacy,Year 8,8,English and Languages,SD,19,19,2025TT,SDLITR|JSD||||SD|03|19|19||||2|0||
